Frequency (Hz)	Level (dB)
283.296204	-74.430244
283.969116	-75.154068
284.642029	-73.918716
285.314941	-73.591835
285.987854	-73.459595
286.660767	-73.106911
287.333679	-73.323029
288.006592	-73.914680
288.679504	-72.604752
289.352417	-71.822952
290.025330	-71.795990
290.698242	-72.509941
291.371155	-72.898689
292.044067	-72.918228
292.716980	-71.267929
293.389893	-71.666336
294.062805	-72.634438
294.735718	-73.279037
295.408630	-73.236511
296.081543	-72.020454
296.754456	-72.286331
297.427368	-73.813019
298.100281	-74.526070
298.773193	-73.782333
299.446106	-73.470512
300.119019	-72.920067
300.791931	-73.735992
301.464844	-74.444328
302.137756	-73.603249
302.810669	-73.620918
303.483582	-73.360069
304.156494	-74.120552
304.829407	-74.097931
305.502319	-73.122612
306.175232	-73.966675
306.848145	-74.011032
307.521057	-74.594093
308.193970	-75.131645
308.866882	-73.194054
309.539795	-72.814941
310.212708	-73.714401
310.885620	-73.903687
311.558533	-73.830727
312.231445	-72.824562
312.904358	-72.850731
313.577271	-72.865181
314.250183	-73.816734
314.923096	-74.417595
315.596008	-73.648132
316.268921	-72.748520
316.941833	-73.316597
317.614746	-73.989342
318.287659	-74.375267
318.960571	-74.098389
319.633484	-72.760956
320.306396	-72.958008
320.979309	-74.259354
321.652222	-74.467438
322.325134	-74.445221
322.998047	-73.952805
323.670959	-74.394241
324.343872	-75.022331
325.016785	-75.060127
325.689697	-75.720238
326.362610	-74.927887
327.035522	-74.411148
327.708435	-74.767487
328.381348	-74.747421
329.054260	-73.254539
329.727173	-73.229401
330.400085	-73.573845
331.072998	-74.467430
331.745911	-74.353279
332.418823	-74.065109
333.091736	-73.381012
333.764648	-73.555725
334.437561	-75.731392
335.110474	-75.333488
335.783386	-74.146202
336.456299	-73.946510
337.129211	-74.193558
337.802124	-74.257835
338.475037	-74.754921
339.147949	-74.555458
339.820862	-74.284698
340.493774	-74.980667
341.166687	-75.406212
341.839600	-76.383446
342.512512	-77.489525
343.185425	-76.825096
343.858337	-76.148308
344.531250	-76.101135
345.204163	-76.570244
345.877075	-76.648041
346.549988	-77.232147
347.222900	-76.006958
347.895813	-76.686783
348.568726	-77.951645
349.241638	-78.584511
349.914551	-77.100090
350.587463	-77.970284
351.260376	-78.856346
351.933289	-79.243973
352.606201	-78.842896
353.279114	-78.742287
353.952026	-77.073425
354.624939	-76.525536
355.297852	-77.940727
355.970764	-76.363037
356.643677	-75.587624
357.316589	-75.567917
357.989502	-75.800926
358.662415	-76.395996
359.335327	-76.819115
360.008240	-76.399704
360.681152	-76.750282
361.354065	-76.950325
362.026978	-77.756172
362.699890	-78.066414
363.372803	-76.701759
364.045715	-76.086632
364.718628	-76.105110
365.391541	-77.093254
366.064453	-78.453239
366.737366	-78.595299
367.410278	-79.068092
368.083191	-79.301170
368.756104	-79.619141
369.429016	-79.015045
370.101929	-78.503853
370.774841	-78.444427
371.447754	-78.726883
372.120667	-79.112885
372.793579	-78.279510
373.466492	-78.478874
374.139404	-78.047737
374.812317	-78.852150
375.485229	-78.592674
376.158142	-78.814697
376.831055	-78.084145
377.503967	-77.717255
378.176880	-78.488457
378.849792	-79.207153
379.522705	-79.548111
380.195618	-79.089043
380.868530	-78.534508
381.541443	-79.109886
382.214355	-79.066086
382.887268	-78.492546
383.560181	-76.983551
384.233093	-77.605309
384.906006	-78.888756
385.578918	-79.044258
386.251831	-78.464081
386.924744	-79.088074
387.597656	-79.868111
388.270569	-80.284325
388.943481	-80.492485
389.616394	-79.339607
390.289307	-80.419289
390.962219	-80.238396
391.635132	-80.027298
392.308044	-80.144951
392.980957	-81.056778
393.653870	-80.533211
394.326782	-79.665398
394.999695	-79.432121
395.672607	-78.868988
396.345520	-78.912590
397.018433	-79.998093
397.691345	-79.077415
398.364258	-78.167053
399.037170	-77.896133
399.710083	-79.190918
400.382996	-78.898766
401.055908	-78.616508
401.728821	-79.392647
402.401733	-79.894226
403.074646	-80.749588
403.747559	-80.596588
404.420471	-80.689774
405.093384	-80.996323
405.766296	-80.398705
406.439209	-80.221718
407.112122	-79.862839
407.785034	-79.521538
408.457947	-78.442169
409.130859	-78.019318
409.803772	-78.423058
410.476685	-78.253349
411.149597	-78.319557
411.822510	-78.537895
412.495422	-77.969353
413.168335	-77.802597
413.841248	-78.062515
414.514160	-79.505608
415.187073	-80.112648
415.859985	-80.432594
416.532898	-80.104385
417.205811	-80.909081
417.878723	-81.434776
418.551636	-81.070862
419.224548	-80.988594
419.897461	-79.800133
420.570374	-79.545647
421.243286	-79.151848
421.916199	-78.954491
422.589111	-78.692856
423.262024	-78.263496
423.934937	-77.164520
424.607849	-77.515373
425.280762	-78.461769
425.953674	-79.404671
426.626587	-79.591385
427.299500	-79.393288
427.972412	-79.771599
428.645325	-80.245094
429.318237	-81.390930
429.991150	-81.510719
430.664063	-81.450989
431.336975	-80.610237
432.009888	-80.261177
432.682800	-79.874825
433.355713	-80.055748
434.028625	-80.164734
434.701538	-79.219849
435.374451	-78.835258
436.047363	-79.250031
436.720276	-79.751633
437.393188	-79.709572
438.066101	-79.889053
438.739014	-79.840240
439.411926	-80.309166
440.084839	-81.175377
440.757751	-81.163681
441.430664	-80.836700
442.103577	-80.594032
442.776489	-81.870819
443.449402	-81.193008
444.122314	-81.893402
444.795227	-81.522385
445.468140	-81.826645
446.141052	-81.487877
446.813965	-81.469116
447.486877	-81.327179
448.159790	-81.415855
448.832703	-80.779701
449.505615	-80.639587
450.178528	-80.683517
450.851440	-81.588531
451.524353	-80.967537
452.197266	-80.925476
452.870178	-79.803047
453.543091	-80.401833
454.216003	-81.206032
454.888916	-81.440422
455.561829	-81.559853
456.234741	-81.550934
456.907654	-81.780670
457.580566	-82.084167
458.253479	-82.561943
458.926392	-83.278854
459.599304	-82.968552
460.272217	-82.289536
460.945129	-81.972427
461.618042	-81.737305
462.290955	-81.603996
462.963867	-81.139290
463.636780	-82.193535
464.309692	-82.290756
464.982605	-82.290047
465.655518	-82.255737
466.328430	-82.167160
467.001343	-81.365761
467.674255	-81.086960
468.347168	-81.642296
469.020081	-82.252319
469.692993	-81.447433
470.365906	-81.328079
471.038818	-81.722397
471.711731	-82.300659
472.384644	-81.470772
473.057556	-81.861969
473.730469	-81.343887
474.403381	-80.079582
475.076294	-80.388725
475.749207	-81.626442
476.422119	-80.772720
477.095032	-80.895988
477.767944	-80.569603
478.440857	-80.961838
479.113770	-80.702515
479.786682	-79.456039
480.459595	-80.482735
481.132507	-82.089943
481.805420	-81.893806
482.478333	-81.165543
483.151245	-81.053696
483.824158	-81.354736
484.497070	-81.499763
485.169983	-81.757751
485.842896	-82.127983
486.515808	-81.743904
487.188721	-82.224274
487.861633	-82.878304
488.534546	-83.056244
489.207458	-81.789513
489.880371	-82.021255
490.553284	-81.156242
491.226196	-80.769745
491.899109	-80.337570
492.572021	-79.946884
493.244934	-80.049377
493.917847	-80.866226
494.590759	-81.835548
495.263672	-81.674423
495.936584	-81.764656
496.609497	-81.856583
497.282410	-80.632172
497.955322	-80.582336
498.628235	-80.706718
499.301147	-80.398087
499.974060	-80.575005
500.646973	-81.050606
501.319885	-80.054871
501.992798	-79.431755
502.665710	-79.723419
503.338623	-80.342857
504.011536	-80.429802
504.684448	-80.198898
505.357361	-80.424965
506.030273	-80.045967
506.703186	-80.195518
507.376099	-79.655975
508.049011	-79.278183
508.721924	-79.532326
509.394836	-79.548721
510.067749	-80.467819
510.740662	-80.713852
511.413574	-80.478439
512.086487	-79.408333
512.759399	-79.476982
513.432312	-79.023750
514.105225	-78.735352
514.778137	-79.688164
515.451050	-79.228714
516.123962	-79.040657
516.796875	-78.483383
517.469788	-79.828239
518.142700	-80.005547
518.815613	-78.872856
519.488525	-78.726234
520.161438	-79.783485
520.834351	-80.995491
521.507263	-80.826126
522.180176	-79.566010
522.853088	-79.434387
523.526001	-80.014038
524.198914	-80.503944
524.871826	-79.613159
525.544739	-79.292572
526.217651	-78.893135
526.890564	-78.364830
527.563477	-79.533173
528.236389	-79.520065
528.909302	-78.938194
529.582214	-78.657097
530.255127	-79.531441
530.928040	-80.466301
531.600952	-79.857567
532.273865	-79.299881
532.946777	-79.230637
533.619690	-78.647125
534.292603	-78.420715
534.965515	-78.686630
535.638428	-79.074142
536.311340	-79.271149
536.984253	-78.717850
537.657166	-78.387024
538.330078	-78.128029
539.002991	-77.855423
539.675903	-78.547035
540.348816	-78.852203
541.021729	-78.618057
541.694641	-79.063904
542.367554	-79.278641
543.040466	-77.759308
543.713379	-78.511070
544.386292	-79.716156
545.059204	-79.244415
545.732117	-79.130157
546.405029	-80.357925
547.077942	-79.113976
547.750854	-77.807190
548.423767	-78.849464
549.096680	-78.632935
549.769592	-77.943771
550.442505	-78.876122
