Frequency (Hz)	Level (dB)
17398.828125	-73.104858
17441.894531	-79.469078
17484.960938	-80.759239
17528.027344	-80.194672
17571.093750	-81.075592
17614.160156	-81.454308
17657.226563	-81.820045
17700.292969	-82.708977
17743.359375	-82.996239
17786.425781	-83.236198
17829.492188	-83.330116
17872.558594	-83.357826
17915.625000	-83.576599
17958.691406	-83.635300
18001.757813	-83.436432
18044.824219	-83.205414
18087.890625	-83.032227
18130.957031	-82.552750
18174.023438	-82.857231
18217.089844	-82.430382
18260.156250	-81.853241
18303.222656	-80.633369
18346.289063	-73.340286
18389.355469	-68.799011
18432.421875	-75.629616
18475.488281	-80.987068
18518.554688	-82.018654
18561.621094	-82.609489
18604.687500	-82.993889
18647.753906	-82.972206
18690.820313	-83.214493
18733.886719	-83.428879
18776.953125	-83.438675
18820.019531	-83.515930
18863.085938	-83.632874
18906.152344	-83.631523
18949.218750	-83.641144
18992.285156	-83.529053
19035.351563	-83.358757
19078.417969	-83.495140
19121.484375	-83.100494
19164.550781	-79.370338
19207.617188	-76.677444
19250.683594	-81.714531
19293.750000	-83.184700
19336.816406	-83.161140
19379.882813	-82.288826
19422.949219	-83.065598
19466.015625	-83.343315
19509.082031	-83.188423
19552.148438	-83.225060
19595.214844	-83.204330
19638.281250	-83.213661
19681.347656	-83.301338
19724.414063	-83.168793
19767.480469	-83.306290
19810.546875	-83.368393
19853.613281	-83.325851
19896.679688	-83.268204
19939.746094	-83.315689
19982.812500	-82.993149
20025.878906	-82.676277
20068.945313	-83.212921
20112.011719	-83.350426
20155.078125	-83.252502
20198.144531	-83.371574
20241.210938	-83.256187
20284.277344	-83.342522
20327.343750	-83.373253
20370.410156	-82.705215
20413.476563	-83.145775
20456.542969	-83.420685
20499.609375	-83.491653
20542.675781	-83.516266
20585.742188	-83.608612
20628.808594	-83.567039
20671.875000	-83.556267
20714.941406	-83.570961
20758.007813	-83.552826
20801.074219	-83.733849
20844.140625	-83.755257
20887.207031	-83.719475
20930.273438	-83.820091
20973.339844	-83.666862
21016.406250	-83.590691
21059.472656	-83.738113
21102.539063	-83.888351
21145.605469	-83.869179
21188.671875	-83.981262
21231.738281	-83.898926
21274.804688	-83.687325
21317.871094	-83.681793
21360.937500	-83.355133
21404.003906	-83.194633
21447.070313	-83.489906
21490.136719	-83.442307
21533.203125	-82.816620
21576.269531	-83.020233
21619.335938	-83.166916
21662.402344	-82.543808
21705.468750	-82.221619
21748.535156	-82.279404
21791.601563	-81.960526
21834.667969	-82.361435
21877.734375	-80.007851
21920.800781	-79.502090
21963.867188	-81.205307
22006.933594	-80.383682
